Gene ID	TSS ID	Transcript ID	gene name
LH00423	TSS2416	CUFF.2389.1	-
LH00424	TSS2417	CUFF.2389.5	-
LH00425	TSS2428	CUFF.2395.1	-
LH00426	TSS2439	CUFF.2428.2	-
LH00427	TSS2440	CUFF.2428.4	-
LH00428	TSS2442	CUFF.2429.2	-
LH00429	TSS2444	CUFF.2432.1	-
LH00430	TSS2467	P1P2	RP11-418J17.1
LH00431	TSS2468	P1P2	RP11-418J17.1
LH00432	TSS2469	P1P2	RP11-418J17.1
LH00433	TSS2476	CUFF.2442.1	-
LH00434	TSS2482	CUFF.2448.1	-
LH00435	TSS2490	P1P2	RP11-439A17.10
LH00436	TSS2491	CUFF.2490.1	RP11-439A17.9
LH00437	TSS2495	CUFF.2497.5	RP11-343N15.5
LH00438	TSS2496	ENST00000602412	RP11-343N15.5
LH00439	TSS2504	CUFF.2466.1	-
LH00440	TSS2505	CUFF.2469.1	-
LH00441	TSS2507	CUFF.2473.3	-
LH00442	TSS2511	P1P2	RP11-417J8.3
LH00442	TSS2512	P1P2	RP11-417J8.3
LH00443	TSS2515	CUFF.2516.1	-
LH00444	TSS2516	CUFF.2516.2	-
LH00445	TSS2518	CUFF.2664.1,CUFF.2664.3	RP11-782C8.1
LH00446	TSS2519	CUFF.2664.7,CUFF.2664.10,CUFF.2664.16,ENST00000447407,ENST00000428930,CUFF.2664.14	RP11-782C8.1
LH00447	TSS2520	CUFF.2664.21	RP11-782C8.3
LH00448	TSS2525	CUFF.2797.2	RP11-435B5.3
LH00449	TSS2526	CUFF.2797.10,CUFF.2797.15	RP11-435B5.3
LH00450	TSS2527	ENST00000421330	RP11-435B5.3
LH00451	TSS2530	ENST00000442663	RP11-435B5.3
LH00452	TSS2532	ENST00000423394	RP11-435B5.5
LH00453	TSS2534	ENST00000412492,ENST00000458155	RP11-435B5.5
LH00454	TSS2536	ENST00000431700	RP11-435B5.5
LH00455	TSS2537	CUFF.2797.46	RP11-435B5.5
LH00456	TSS2548	CUFF.2494.3	-
LH00457	TSS2555	ENST00000532137	RP4-791M13.4
LH00458	TSS2556	CUFF.2505.1,ENST00000531288	RP4-791M13.5
LH00459	TSS2557	CUFF.2506.1	-
LH00460	TSS2560	CUFF.2513.7	RP11-326G21.1
